,participant_id,file_name,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny
153,t2,t2_F_MN_SAUCE_block0_sauce_3_3_L1_large-v3.txt,3_3,L1,low prob,"The king wore a shiny, gold box",The king wore a shiny gold box.,The King wore a shiny gold box.,The king wore a shiny gold box.,The king wore a shiny gold box.,The King wore a shiny gold box.
154,t2,t2_F_MN_SAUCE_block0_sauce_10_3_L1_large-v3.txt,10_3,L1,high prob,Watch the astronaut launch the rocket.,Watch the astronaut launch the rocket.,Watch the astronaut launch the rocket.,Watch the astronaut launch the rocket.,watch the astronaut launch the rocket.,Watch the astronaut launch the rocket.
155,t2,t2_M_MN_SAUCE_block4_sauce_77_1_L1_large-v3.txt,77_1,L1,high prob,The aquarium has many different fish.,Aquarium has many different fish.,A Corvian has many different fish.,Aquarium has many different fish.,Aquarium has many different fish.,Her quarry has many different fish.
156,t2,t2_F_MN_SAUCE_block0_sauce_33_3_L2_large-v3.txt,33_3,L2,nonword,"For Balloween, he carved a dress.","For bellowing, he carved a dress.","For ballowing, you coughed a dress.","For ballowing, he coughed a dress.","For ballowing, he coughed a dress.","For ballowing, he coughed a dress."
157,t2,t2_F_MN_SAUCE_block0_sauce_22_1_L2_large-v3.txt,22_1,L2,high prob,The bride wore a fancy dress.,The bride wore a fancy dress.,The bride wore a fancy dress.,The bride wore a fancy dress.,The bride wore a fancy dress.,The Brie wore a fancy dress.
158,t2,t2_F_MN_SAUCE_block0_sauce_8_1_L1_large-v3.txt,8_1,L1,low prob,"If shorts won't be warm enough, you can wear ears.","If shorts won't be warm enough, you can wear ears.","If the shorts warm, be warm enough, you can wear ears.","If shorts warm, be warm enough.
You can wear ears.",If shorts warm be warm enough you can wear ears.,If short warm be warm enough you can wear ears.
159,t2,t2_F_MN_SAUCE_block0_sauce_21_2_L1_large-v3.txt,21_2,L1,nonword,"He always wears a belmet on that fast, loud ball.",He always wears a huge helmet on the fast loud ball.,He always wears a huge helmet on the fast-loud ball.,he always wears a huge helmet on the fast loud ball.,you always wears a helmet on the fast loud ball.,You always wear a helmet on the fast-loud ball.
160,t2,t2_M_MN_SAUCE_block4_sauce_87_2_L1_large-v3.txt,87_2,L1,high prob,I like to bounce the ball.,I like to bounce the ball.,Select your bounce bowl.,I like to bounce the ball.,Electro-Bounce the ball.,Select your bounce table.
161,t2,t2_F_MN_SAUCE_block0_sauce_61_3_R1P2_large-v3.txt,61_3,R1P2,high prob,I used 3 big snowballs to make a snowman.,I use three big snowballs to make a snowman.,I use three big snowballs to make a snowman.,I use three big snow balls to make a snowman.,I use three big snowballs to make a snowman.,I use 3 big snowballs to make a snowman.
162,t2,t2_M_MN_SAUCE_block4_sauce_95_3_L2_large-v3.txt,95_3,L2,high prob,"Riding on a broom was an old, mean witch.",Ready on a broom was an old Ming witch.,Ready on a broom was an old main bridge.,Ready on a broom was an old Ming witch.,ready on a broom with an old mean witch.,Ready on a broom was an odd main bridge.
163,t2,t2_M_MN_SAUCE_block4_sauce_84_1_L2_large-v3.txt,84_1,L2,low prob,The brave knight killed the chair.,The brave knight cued the chair.,The brave knight cute the cheer.,The brave knight queued the chair.,The brief night killed the cheer.,The brave knight cut the chair.
164,t2,t2_F_MN_SAUCE_block0_sauce_71_2_R3P2_large-v3.txt,71_2,R3P2,nonword,I have a woon but I need a web.,I have his wound but I need a web.,I have this wound but I need a web.,I have his wound but I need a web.,I have this wound but I need a web.,I have a spoon but I need a bag.
165,t2,t2_F_MN_SAUCE_block0_sauce_55_1_L1_large-v3.txt,55_1,L1,low prob,The sound was so loud I had to cover my shirt.,The sound was so loud I had to cover my shirt.,The sound was so loud I had to cover my shirt.,The sound was so loud I had to cover my shirt.,The sound was so loud I had to cover my shirt.,The sound was so loud I had to cover my shirt.
166,t2,t2_F_MN_SAUCE_block0_sauce_18_2_L2_large-v3.txt,18_2,L2,nonword,Fommy read me my favorite broom.,"Thaumirami, my favorite broom.",Form your ramen jeep and flar.,Form your Rami in my favorite room.,Form your ramy in my favorite broom.,Follow me Rammy and my favorite听.
167,t2,t2_F_MN_SAUCE_block0_sauce_44_3_L1_large-v3.txt,44_3,L1,nonword,"When Bandma reads, she needs her boat.","When Ben marries, she needs her boat.",When Ben marries she needs her boat.,When Ben Marries she needs her bolt.,"When Ben marries, she needs her boat.","When Ben married, she needs her boat."
168,t2,t2_F_MN_SAUCE_block0_sauce_56_2_L2_large-v3.txt,56_2,L2,low prob,I was scared that under my bed there could be a motorcycle.,I was scared that under my bed there could be a motorcycle.,"I was scared that I'm done my bad, there could be a motorcycle.",I was scared that under my bed there could be a motorcycle.,I was scared that under my bed there could be a motorcycle.,I was scared that under my bed there could be a motorcycle.
169,t2,t2_F_MN_SAUCE_block0_sauce_8_3_L2_large-v3.txt,8_3,L2,nonword,"If borts won't be warm enough, you can wear ears.","If boards won't be warm enough, you can wear ears.","If the force won't be warm enough, you can wear ears.","If board won't be warm enough, you can wear ears.","If boards won't be warm enough, you can wear ears.","If words won't be warm enough, you can wear ears."
170,t2,t2_F_MN_SAUCE_block0_sauce_22_3_L1_large-v3.txt,22_3,L1,low prob,The bride wore a fancy bed.,The bride wore a fancy bed.,The Brie were a fancy bed.,The bride wore a fancy bed.,The bride wore a fancy bed.,The Brie World A-Fancy Battle.
171,t2,t2_F_MN_SAUCE_block0_sauce_33_1_L1_large-v3.txt,33_1,L1,high prob,"For Halloween, he carved a pumpkin.","For Halloween, he curved a pumpkin.","For Halloween, he curved a pumpkin.","For Halloween, he curved a pumpkin.","For Halloween, he curved a pumpkin.","For Halloween, he curved a pumpkin."
172,t2,t2_F_MN_SAUCE_block0_sauce_30_2_L2_large-v3.txt,30_2,L2,high prob,"At the picnic, the crumbs attracted ants.","At the picnic, the crumbs attract ants.","At the picnic, the crumbs the tread ends.","At the picnic, the crumbs attract ants.","At the picnic, the chrome-stretched ends.","At the picnic, the crumbs will tread ends."
173,t2,t2_F_MN_SAUCE_block0_sauce_44_1_L2_large-v3.txt,44_1,L2,high prob,"When Grandma reads, she needs her glasses.","When Grandma reads, she needs her glasses.",When grandma reads she needs her glasses.,When grandma reads she needs her glasses.,"When Grandma reads, she needs her glasses.","When Grand Ma reads, she needs her glasses."
174,t2,t2_F_MN_SAUCE_block0_sauce_55_3_L2_large-v3.txt,55_3,L2,nonword,The gound was so loud I had to cover my shirt.,The gun was so loud I had to cover my shirt.,The gown was so loud I had to cover my shirt.,The gun was so loud I had to cover my shirt.,The gown was so loud I had to cover my shirt.,The gown was so loud I had to cover my shirt.
175,t2,t2_F_MN_SAUCE_block0_sauce_47_2_L1_large-v3.txt,47_2,L1,high prob,"At dinner, my family sits together at the table.","At dinner, my family sits together at the table.","Add dinner.
My family sits together at the table.","At dinner, my family sits together at the table.","At dinner, my family sits together at the table.","Adinar, my family sits together at the table."
176,t2,t2_M_MN_SAUCE_block4_sauce_96_2_L2_large-v3.txt,96_2,L2,high prob,"In the woods lived a big, growly witch.",In the woods lived a big growly witch.,"In the ooz, leave a big groullewatch.","In the ooze, leave a big rally witch.",In the woods leave a big rally witch.,"In the woods, leave a big rally wedge."
177,t2,t2_M_MN_SAUCE_block4_sauce_100_2_L1_large-v3.txt,100_2,L1,low prob,I wish I had a trunk like that rubber ducky.,i wish i had a trunk like that rubber ducky.,I wish I had a trunk like that robo doggie.,I wish I had a trunk like that rubber ducky.,I wish I had a trunk like that rubber ducky.,I wish I had a trunk like that rubber doggy.
178,t2,t2_M_MN_SAUCE_block4_sauce_84_3_L1_large-v3.txt,84_3,L1,high prob,The brave knight killed the dragon.,The brave knight killed the dragon.,To brief I cio the dragon.,The brave knight killed the dragon.,The brief knight killed the dragon.,to brief like you to dragon.
179,t2,t2_F_MN_SAUCE_block0_sauce_73_2_R4P2_large-v3.txt,73_2,R4P2,low prob,Use the remote to change the channels on the castle.,Use the remote to change the channels on the castle.,Use the remote to change the channels on the castle.,Use the remote to change the channels on the castle.,Use the remote to change the channels on the castle.,Use the remote to change the channels on the castle.
180,t2,t2_M_MN_SAUCE_block4_sauce_95_1_L1_large-v3.txt,95_1,L1,low prob,"Riding on a broom was an old, mean baby.",Riding on a broom was an old Ming baby.,Writing on a broom was an old-ming baby.,Riding on a broom was an old mean baby.,Writing on a broom was an old mean baby.,Writing on a broom wasn't old-mean baby.
181,t2,t2_F_MN_SAUCE_block0_sauce_58_1_L2_large-v3.txt,58_1,L2,low prob,Inside the nest sat a beautiful table.,"Inside the nest, set a beautiful table.","Inside the nest, set a beautiful table.","Inside the nest, set a beautiful table.",Inside the nest set a beautiful table.,"Inside the nest, set a beautiful table."
182,t2,t2_F_MN_SAUCE_block0_sauce_15_2_L1_large-v3.txt,15_2,L1,high prob,My friend likes pepperoni on his pizza.,My friend likes pepperoni on his pizza.,My friend likes Paparani on his pizza.,My friend likes pepperoni on his pizza.,My friend likes paparazzi on his pizza.,My friend likes Paparani on his pizza.
183,t2,t2_F_MN_SAUCE_block0_sauce_49_3_L2_large-v3.txt,49_3,L2,low prob,The boy will grow to become a salt.,The boy will grow to become a salt.,The boy will grow to become a thought.,The boy will grow to become a thought.,The boy will grow to become a thought.,The boy will grow to become a thought.
184,t2,t2_F_MN_SAUCE_block0_sauce_16_1_L2_large-v3.txt,16_1,L2,low prob,On the ceiling I saw a creepy-crawly bag.,"On the ceiling, I saw a creepy crawly bag.",On the ceiling I saw a creepy crawly bag.,"On the ceiling, I saw a creepy crawly bag.",On the ceiling I saw a creepy crawly bag.,On this silly I saw a creepy crawly bag.
185,t2,t2_M_MN_SAUCE_block4_sauce_98_3_L1_large-v3.txt,98_3,L1,high prob,"There is one bathroom for the boys, and one for girls.",There is one bathroom for the boys and one for girls.,There's one bathroom for the boys and one for girls.,There's one bathroom for the boys and one for girls.,There's one bathroom for the boys and one for girls.,There's one bathroom for the boys and one for girls.
186,t2,t2_M_MN_SAUCE_block4_sauce_89_1_L1_large-v3.txt,89_1,L1,nonword,"When we lost elecSISSity, we had to light a monster.","When we lost elasticity, we had to light a monster.",When we lost elasticity we had to lie and monster.,"When we lost electricity, we had to light a monster.","When we lost elasticity, we had to light a monster.",When we lost in necessity we had to lie and monster.
187,t2,t2_F_MN_SAUCE_block0_sauce_62_2_L2_large-v3.txt,62_2,L2,high prob,The cowboy is very good at riding his horse.,The cowboy is very good at riding his horse.,The cowboy is very good at riding his horse.,The cowboy is very good at riding his horse.,The cowboy is very good at riding his horse.,The cowboy is very good at riding his horse.
188,t2,t2_F_MN_SAUCE_block0_sauce_5_1_L2_large-v3.txt,5_1,L2,high prob,She got stung by a bee.,She got scorned by a bee.,"She got 0.
5p.",she got scammed by a fb.,She got scone by FB.,She got scumbi of B.
189,t2,t2_F_MN_SAUCE_block0_sauce_70_3_L1_large-v3.txt,70_3,L1,nonword,Zows eat a lot of shell.,Zous eat a lot of shells.,"juice, sour, and a lot of.",Zou eat a lot of shells.,"Zeus, Zeus ate a lot of shells.","Jews, Zous, eat a lot of shells."
190,t2,t2_F_MN_SAUCE_block0_sauce_6_2_L1_large-v3.txt,6_2,L1,low prob,The scared turtle won't come out of its airplane.,The scared turtle won't come out of its airplane.,The skier turtle won't come out of his fear plane.,The scared turtle won't come out of its airplane.,The scared turtle won't come out of its airplane.,The scared turtle won't come out of his fear plane.
191,t2,t2_F_MN_SAUCE_block0_sauce_61_1_L1_large-v3.txt,61_1,L1,nonword,I used 3 big coballs to make a bear.,I use three big cobalt to make a beer.,I use three big co-balls to make it appear.,I use three big co-balls to make a beer.,I use three big cobalt balls to make a beer.,I use three big co balls to make it beer.
192,t2,t2_M_MN_SAUCE_block4_sauce_89_3_L2_large-v3.txt,89_3,L2,high prob,"When we lost electricity, we had to light a candle.","When we lost electricity, we had to light a candle.","When we lost electricity, it had to light a candle.","When we lost electricity, we had to light a candle.","When we lost electricity, we had to light a candle.","When we lost electricity, it had light candle."
193,t2,t2_M_MN_SAUCE_block4_sauce_98_1_L2_large-v3.txt,98_1,L2,low prob,"There is one bathroom for the boys, and one for ants.",There is one bathroom for the boys and one for aunts.,There is one bathroom for the boys in one for ends.,There is one bathroom for the boys and one for ants.,There is one bathroom for the boys and one for ants.,There is one bathroom for the boys in one for ends.
194,t2,t2_F_MN_SAUCE_block0_sauce_49_1_L1_large-v3.txt,49_1,L1,nonword,The floy will grow to become a salt.,The Floyd will grow to become a salt.,The flow will grow to become a thought.,The floy will grow to become a sod.,The floy will grow to become a thought.,The flow will grow to become a thought.
195,t2,t2_F_MN_SAUCE_block0_sauce_58_3_L1_large-v3.txt,58_3,L1,high prob,Inside the nest sat a beautiful bird.,Inside the nest sat a beautiful bird.,"Inside the nest, set a beautiful bird.",Inside the nest sat a beautiful bird.,Inside the nest sat a beautiful bird.,Inside the NASA debuted a full bird.
196,t2,t2_F_MN_SAUCE_block0_sauce_16_3_L1_large-v3.txt,16_3,L1,nonword,On the queeling I saw a creepy-crawly bag.,"On the quilling, I saw a creepy crawly bag.",On the Quilling I saw a creepy crawly bag.,On the quelling I saw a creepy crawly bag.,"On the queuing, I saw a creepy crawly bag.","On the quelling, I saw a creepy crawly bag."
197,t2,t2_F_MN_SAUCE_block0_sauce_73_2_L1_large-v3.txt,73_2,L1,low prob,Use the remote to change the channels on the castle.,Use the remote to change the channel of the castle.,Use the remote to change the channel of the castle.,"Use the remote to change the channel of the castle.
Okay.","Use the remote to change the channel of the castle.
Oh, okay.",use the remote to change the channel of the castle.
198,t2,t2_F_MN_SAUCE_block0_sauce_5_3_L1_large-v3.txt,5_3,L1,nonword,She got fung by a flag.,She got found by a flag.,She got fawn by a flag.,She got fawned by a flag.,She got fun by flag.,She called Fong by Flag.
199,t2,t2_F_MN_SAUCE_block0_sauce_61_3_L2_large-v3.txt,61_3,L2,high prob,I used 3 big snowballs to make a snowman.,I used three big snowballs to make a snowman.,I used three big snowballs to make a snowman.,I used three big snow balls to make a snowman.,I use 3 big snowballs to make a snowman.,I use 3 big snow bars to make it snowman.
200,t2,t2_F_MN_SAUCE_block0_sauce_70_1_L2_large-v3.txt,70_1,L2,low prob,Cows eat a lot of shell.,Cows eat a lot of shell.,Couse eat a lot of shell.,Cows eat a lot of shell.,cows eat a lot of shell.,Cows eat a lot of shell.
201,t2,t2_M_MN_SAUCE_block4_sauce_81_1_L2_large-v3.txt,81_1,L2,low prob,In the pond there was one quacking pillow.,In the pond there was one quagmire pillow.,In the palm there was one cocking pillow.,"In the palm, there was one quacking pillow.",In the pound there was one cocking pillow.,"In the palm, there was one quacking pillow."
202,t2,t2_M_MN_SAUCE_block4_sauce_90_3_L2_large-v3.txt,90_3,L2,nonword,"When seecess ends, the teacher rings the frog.","When CSAT ends, the teacher rings the frog.","When C-Sense ends, the teacher rings the frog.","When CSAS ends, the teacher rings the frog.","When C-Sas ends, the teacher rings the frog.",When C-Sense the teacher rings the frog.
203,t2,t2_M_MN_SAUCE_block4_sauce_82_2_L1_large-v3.txt,82_2,L1,high prob,I want to sleep in my bed.,I want to sleep in my bed.,I want to sleep in my bed.,I want to sleep in my bed.,I want to sleep in my bed.,I want to sleep in my bed.
204,t2,t2_M_MN_SAUCE_block4_sauce_79_3_L1_large-v3.txt,79_3,L1,low prob,There are 3 bedrooms in their carrot.,"There are three bedrooms in their car.
Okay.","There are three bad room in their carrots.
Okay.","There are three bedrooms in their carats.
Okay.","There are three bedrooms in their carats.
Okay.","��dred, badge room, India, Thanks."
205,t2,t2_F_MN_SAUCE_block0_sauce_53_2_L2_large-v3.txt,53_2,L2,nonword,The kampire can turn into a ring.,The campfire can turn into a ring.,The campfire can turn into a ring.,The campire can turn into a ring.,The campfire can turn into a ring.,The campfire can turn into a ring.
206,t2,t2_F_MN_SAUCE_block0_sauce_41_3_L1_large-v3.txt,41_3,L1,low prob,"Oink Oink, said the shoes.",Oink oink set the shoes.,"Oink oink, set the shoes.",oink oink except the shoes.,"Oink oink, set the shoes.","Owing, Owing, set the shoes."
207,t2,t2_F_MN_SAUCE_block0_sauce_50_1_L1_large-v3.txt,50_1,L1,high prob,Soldiers shoot with their guns.,"Soldiers shoot with their guns.
槍手 哦。 哦,OK。.","So just shoot with your guns.
Oh.
Oh okay.","Soldiers shoot with their guns.
Oh.
Oh, okay.",soldiers shoot with their guns oh okay.,"Soldiers treat with their guns It turps.
or okay."
208,t2,t2_F_MN_SAUCE_block0_sauce_69_1_L2_large-v3.txt,69_1,L2,low prob,Kids sit in the back seat of the bee.,Kid sit in the back seat of the bee.,Kit sit in the back seat of the bee.,Kid sit in the back seat of the bee.,Kid sit in the back seat of the bee.,Kid set in the back seat of the bee.
209,t2,t2_F_MN_SAUCE_block0_sauce_24_2_L1_large-v3.txt,24_2,L1,low prob,The mommy put a diaper on her cereal.,My mommy put a diaper on her cereal.,My mommy put a diaper on her cereal.,My mommy put a diaper on her cereal.,My mommy put a diaper on her cereal.,My mommy put a diaper on her cereal.
210,t2,t2_F_MN_SAUCE_block0_sauce_27_1_L2_large-v3.txt,27_1,L2,low prob,The swimmer was being chased by a giant house.,The swimmer was being chased by a giant house.,The swimmer was being chased by a giant house.,The swimmer was being chased by a giant house.,The swimmer was being chased by a giant house.,The swimmer was being chased by a giant house.
211,t2,t2_F_MN_SAUCE_block0_sauce_36_3_L2_large-v3.txt,36_3,L2,high prob,Sitting on the lilypad was a frog.,Sitting on the lily pad was a fraud.,Sitting on the lily pad was a far from.,Sitting on the lily pad was a fraud.,sitting on the lily pad was a flaw from.,Sitting on the Lily pad was a far thru.
212,t2,t2_F_MN_SAUCE_block0_sauce_42_2_L1_large-v3.txt,42_2,L1,nonword,"To keep the pun out of my face, I wear a train.","To keep the pond out of my face, I wear a chain.",To keep the pond out of my face I wear a tree.,"To keep the pond out of my face, I wear a train.","To keep the pond out of my face, I wear a train.",To keep the pond out of my face I wear a train.
213,t2,t2_M_MN_SAUCE_block4_sauce_79_1_L2_large-v3.txt,79_1,L2,high prob,There are 3 bedrooms in their house.,There are three bedrooms in their house.,There are three bedrooms in your house.,There are three bedrooms in their house.,There are three bedrooms in your house.,There are three bedrooms in your house.
214,t2,t2_F_MN_SAUCE_block0_sauce_50_3_L2_large-v3.txt,50_3,L2,nonword,Noldiers shoot with their glasses.,No judge shoots with their glasses.,Node your shoes with their glasses.,No judge shoots with their glasses.,No judge choose with their classes.,No just choose with their classes.
215,t2,t2_F_MN_SAUCE_block0_sauce_41_1_L2_large-v3.txt,41_1,L2,nonword,"Oink Oink, ked the shoes.",Oink oink cat the shoes.,Blowing eyesep ногo keshi pork.,"Oink oink, cat the shoes.","Oink oink, cat the shoes.","Buying oils, cat the shoes."
216,t2,t2_M_MN_SAUCE_block4_sauce_90_1_L1_large-v3.txt,90_1,L1,low prob,"When recess ends, the teacher rings the frog.","When recess ends, the teacher rings the frog.",Where recess ends to teach her rings the frog.,"When recess ends, the teacher rings the frog.","When resets ends, teacher rings the frog.",We'll reset the ends to teach her rings the frog.
217,t2,t2_M_MN_SAUCE_block4_sauce_81_3_L1_large-v3.txt,81_3,L1,nonword,In the lond there was one quacking pillow.,"In the lounge, there was one quacking pillow.",In the lounge there was one cocking pillow.,In the lounge there was one quacking pillow.,In the lounge there was one quacking pool.,"In the lounge, there was one parking pillow."
218,t2,t2_M_MN_SAUCE_block4_sauce_93_2_L2_large-v3.txt,93_2,L2,low prob,I pledge allegiance to the elephant.,I plead allegiance to the elephants.,I plead allegiance to the elephants.,I plead allegiance to the elephants.,I plead allegiance to the elephants.,I plead allegiance to the elephants.
219,t2,t2_F_MN_SAUCE_block0_sauce_6_1_R2P2_large-v3.txt,6_1,R2P2,high prob,The scared turtle won't come out of its shell.,The scared turtle won't come out of its shell.,The skier turtle won't come out of his shell.,The scared turtle won't come out of its shell.,The scared turtle won't come out of its shell.,The scared turtle won't come out of his shell.
220,t2,t2_F_MN_SAUCE_block0_sauce_69_3_L1_large-v3.txt,69_3,L1,high prob,Kids sit in the back seat of the car.,Kid sit in the back seat of the car.,Kit sit in the back seat of the car.,Kid sit in the back seat of the car.,Kid sit in the back seat of the car.,Kit sit in the back seat of the car.
221,t2,t2_F_MN_SAUCE_block0_sauce_35_2_L2_large-v3.txt,35_2,L2,nonword,"At the haunted kowce, I saw a bird.","At the haunted house, I saw a bird.",At the haunted house I saw a bird.,At the haunted house I saw a bird.,"At the haunted house, I saw a bird.",At the haunted house I saw a bird.
222,t2,t2_F_MN_SAUCE_block0_sauce_36_1_L1_large-v3.txt,36_1,L1,nonword,Sitting on the vilypad was a bridge.,Sitting on the village path was a bridge.,Sitting on the belly pad was a bridge.,Sitting on the village pad was a bridge.,Sitting on the Vili pad was a bridge.,Sitting on the Vili pad was a bridge.
223,t2,t2_F_MN_SAUCE_block0_sauce_27_3_L1_large-v3.txt,27_3,L1,high prob,The swimmer was being chased by a giant shark.,The swimmer was being chased by a giant shark.,The swimmer was being chased by a giant shark.,The swimmer was being chased by a giant shark.,The swimmer was being chased by a giant shark.,The swimmer was fee being chased by a giant shark.
224,t2,t2_F_MN_SAUCE_block0_sauce_64_1_L1_large-v3.txt,64_1,L1,high prob,You can open the locked door with the key.,You can open the lock door with the key.,"You can open the locked door with the key.
With the key.",You can open the lock door with the key.,You can open the locked door with the key.,You can open the locked door with it the key.
225,t2,t2_F_MN_SAUCE_block0_sauce_75_3_L1_large-v3.txt,75_3,L1,low prob,"To drive the car, daddy turns the hearts.","To drive the car, Daddy turns the heart.",To drive the car daddy turns the heart.,"To drive the car, daddy turns the heart.","To drive the car, Daddy turns the heart.",To drive the car that it turns the heart.
226,t2,t2_F_MN_SAUCE_block0_sauce_29_2_L2_large-v3.txt,29_2,L2,high prob,The gift was inside the box.,The gift was inside the box.,The gift was inside the box.,The gift was inside the box.,The gift was inside the box.,The gift was inside the box.
227,t2,t2_F_MN_SAUCE_block0_sauce_3_2_L1_large-v3.txt,3_2,L1,high prob,"The king wore a shiny, gold crown",The king wore a shiny gold crown.,The King wore a shiny gold crown.,The king wore a shiny gold crown.,The king wore a shiny gold crown.,The King wore a shiny gold crown.
228,t2,t2_F_MN_SAUCE_block0_sauce_67_2_L2_large-v3.txt,67_2,L2,low prob,The caterpillar turned into a piano.,The caterpillar turned into a piano.,The caterpillar turned into a piano.,The caterpillar turned into a piano.,The caterpillar turned into a piano.,The caterpillar turn into a piano.
229,t2,t2_F_MN_SAUCE_block0_sauce_13_1_L2_large-v3.txt,13_1,L2,low prob,My uncle dug a hole with a tree.,My uncle dug a hole with a tree.,My uncle dug a hole with a tree.,My uncle dug a hole with a tree.,My uncle dug a hole with a tree.,My uncle dug a hole with a tree.
230,t2,t2_F_MN_SAUCE_block0_sauce_10_2_L1_large-v3.txt,10_2,L1,nonword,Watch the pastronaut launch the santa.,Watch the ponstrona launch the center.,Watch the pasta not launch the center.,Watch the Pond Satanac to launch the Thistlerai.,Watch the Ponsrona launch the center.,剝ře de positrona lazter centre.
231,t2,t2_F_MN_SAUCE_block0_sauce_75_1_L2_large-v3.txt,75_1,L2,nonword,"To mive the car, daddy turns the hearts.",To mive the car daddy turns the hearts.,To mif the car that it turns the heart.,To mive the car daddy turns the hearts.,"To mive the car, Daddy turns the hearts.",To knife the car that he turns the hearts.
232,t2,t2_F_MN_SAUCE_block0_sauce_64_3_L2_large-v3.txt,64_3,L2,nonword,You can open the locked bore with the shovel.,You can open the locked board with the shovel.,You can open the locked board with the shovel.,You can open the locked board with the shovel.,You can open the locked bore with the shovel.,You can open the locked board with the shovel.
233,t2,t2_F_MN_SAUCE_block0_sauce_38_2_L1_large-v3.txt,38_2,L1,high prob,I fixed the torn page with a piece of tape.,I fix the torn page with a piece of tape.,I fixed the torn page with a piece of tape.,I fixed the torrent page with a piece of tape.,I fixed the torn page with a piece of tape.,I fixed the torn page with a piece of tape.
234,t2,t2_F_MN_SAUCE_block0_sauce_3_2_R1P2_large-v3.txt,3_2,R1P2,high prob,"The king wore a shiny, gold crown",The king wore a shiny gold crown.,The King wore a shiny gold crown.,The king wore a shiny gold crown.,The king were a shiny gold crown.,The King were a shiny gold crown.
235,t2,t2_F_MN_SAUCE_block0_sauce_13_3_L1_large-v3.txt,13_3,L1,high prob,My uncle dug a hole with a shovel.,My Uncle Dougie Ho Ho with a shovel.,My uncle dug it all with a shovel.,My uncle dug a hole with a shovel.,My uncle ducked a hole with a shovel.,My uncle died a whole with a shovel.
236,t2,t2_F_MN_SAUCE_block0_sauce_33_3_R1P2_large-v3.txt,33_3,R1P2,nonword,"For Balloween, he carved a dress.","For Bellowing, he carved a dress.",For B allowing he coughed at rest.,"For Bellowing, he coughed a trance.",for ballowing he coughed a dress.,For Balor Wing he coughed a dress.
237,t2,t2_M_MN_SAUCE_block4_sauce_77_2_L2_large-v3.txt,77_2,L2,nonword,The adarium has many different swings.,The Adarion has many different swings.,Though Adarian has many different wins.,Though Adarian has many different swings.,The Adarian has many different twins.,Though a Daryon has many different swings.
238,t2,t2_F_MN_SAUCE_block0_sauce_20_2_L1_large-v3.txt,20_2,L1,nonword,Please greep the floor with a snowman.,Please grip the floor with a snowman.,Please grip the floor with a snowman.,Please grip the floor with a snowman.,please grip the floor with a snowman.,Please grip the floor with a snowman.
239,t2,t2_F_MN_SAUCE_block0_sauce_9_1_L1_large-v3.txt,9_1,L1,high prob,I put shampoo in my hair.,I put shampoo in my hair.,I push and pull in my hair.,I put shampoo in my hair.,I push and put in my hair.,I push and pull in my hair.
240,t2,t2_F_MN_SAUCE_block0_sauce_23_1_L2_large-v3.txt,23_1,L2,nonword,When raddy cooks he adds pepper and duck.,"When Reddy cooks, he adds pepper and duck.","When ready cooks, he adds pepper and dark.","When Reddy cooks, he adds pepper and duck.","When ready cooks, he adds pepper and dog.","When ready cooks, he adds pepper and dog."
241,t2,t2_F_MN_SAUCE_block0_sauce_32_3_L2_large-v3.txt,32_3,L2,nonword,On her minger she wore a rocket.,On her minkler she wore a rocket.,On her finger she wore a rocket.,On her minker she wore a rocket.,"On her mingle, she wore a rocket.",On her finger she wore a rocket.
242,t2,t2_F_MN_SAUCE_block0_sauce_71_3_R3P2_large-v3.txt,71_3,R3P2,low prob,I have a spoon but I need a web.,I have a spoon but I need a web.,I have a spoon but I need a web.,I have a spoon but I need a web.,I have a spoon but I need a web.,I have a spoon but I need a web.
243,t2,t2_M_MN_SAUCE_block4_sauce_85_1_L2_large-v3.txt,85_1,L2,low prob,I like to play fetch with my clock.,I like to play fetch with my clock.,I like to play fetch with my cloud.,I like to play fetch with my clock.,I like to play fetch with my clout.,I like to play fetch with my cloud.
244,t2,t2_M_MN_SAUCE_block4_sauce_94_3_L2_large-v3.txt,94_3,L2,high prob,At the zoo I fed the black and white-striped zebra.,"At the zoo, I fed the black-white striped zebra.","At a zoo, I've had the black wise striped zebra.","At the zoo, I fight the black white striped zebra.","Add a Zoo, I've added the black-white striped zebra.",Add a tool I've found the black Y-Strike zebra.
245,t2,t2_F_MN_SAUCE_block0_sauce_61_2_R1P2_large-v3.txt,61_2,R1P2,low prob,I used 3 big snowballs to make a bear.,I used three big snowballs to make a bear.,I used three big snowballs to make a beer.,I used three big snowballs to make a beer.,I used three big snowballs to make a beer.,I used three big snowballs to make it beer.
246,t2,t2_F_MN_SAUCE_block0_sauce_65_1_R2P2_large-v3.txt,65_1,R2P2,high prob,The coloring book comes with a box of crayons.,The coloring book comes with a box of crayons.,The coloring book comes with a box of crayons.,The coloring book comes with a box of crayons.,The coloring book comes with a box of crayons.,The coloring book comes with a box of crayons.
247,t2,t2_M_MN_SAUCE_block4_sauce_86_2_L1_large-v3.txt,86_2,L1,low prob,The girl took lessons to play the dinosaur.,The girl took Lasson to play the dinosaur.,The road took less than to play the diner's door.,The girl took lessons to play the dinosaur.,The girl took less into play the dinosaur.,The growth took less than to play the dinosaur.
