Sentence ID,Expected Transcription,,t1_L1_large,t1_L2_large,t1_L1_turbo,t1_L2_turbo,t2_L1_large,t2_L2_large,t2_L1_turbo,t2_L2_turbo,t3_L1_large,t3_L2_large,t3_L1_turbo,t3_L2_turbo,t4_large,t4_turbo
94_1,At the oo I fed the black and white-striped pool.,nonword,poor,"wu, poor",,"woo, paw",,,,,,,,,,
94_2,At the zoo I fed the black and white-striped pool.,low prob,"poor, duplicate","poor, duplicate",,pole,,,,,,,,,,
94_3,At the zoo I fed the black and white-striped zebra.,high prob,,,,,,,,,,,,,,
95_1,"Riding on a broom was an old, mean baby.",low prob,,,,,,,,,,,,,,
95_2,"Riding on a shoom was an old, mean baby.",nonword,"writing on a shroom with, duplicate",shroom with,writing on a shroom with,shroom with,,,,,,,,,,
95_3,"Riding on a broom was an old, mean witch.",high prob,,,,with,,,,,,,,,,
96_1,"In the oods lived a big, growly witch.",nonword,woods,woods,woods,woods,,,,,,,,,,
96_2,"In the woods lived a big, growly witch.",high prob,duplicate,duplicate,,,,,,,,,,,,
96_3,"In the woods lived a big, growly bear.",low prob,duplicate,duplicate,,,,,,,,,,,,
97_1,"On Christmas, mommy left cookies for eyes.",low prob,"ice, duplicate",,ice,ice,,,,,,,,,,
97_2,"On Sistmas, mommy left cookies for eyes.",nonword,"Sismas, ice","Sismas, ice","Sismas, ice","Sismas, ice",,,,,,,,,,
97_3,"On Christmas, mommy left cookies for santa.",high prob,duplicate,duplicate,,,,,,,,,,,,
98_1,"There is one bathroom for the boys, and one for ants.",low prob,"aunt, duplicate",,aunt,aunts,,,,,,,,,,
98_2,"There is one hathroom for the boys, and one for ants.",nonword,"bathroom, aunts","half-room, aunts",,"bathroom, aunts",,,,,,,,,,
98_3,"There is one bathroom for the boys, and one for girls.",high prob,,,,there's,,,,,,,,,,
99_1,"To cross the river, we walked on a bridge.",high prob,duplicate,,,,,,,,,,,,,
99_2,"To cross the sivver, we walked on a banana.",nonword,"across the sivir, duplicate",sivir,across the siever,seiver,,,,,,,,,,
99_3,"To cross the river, we walked on a banana.",low prob,,,,,,,,,,,,,,
100_1,I wish I had a plunk like that rubber ducky.,nonword,duplicate,duplicate,,,,,,,,,,,,
100_2,I wish I had a trunk like that rubber ducky.,low prob,duplicate,,,,,,,,,,,,,
100_3,I wish I had a trunk like that elephant.,high prob,duplicate,,,,,,,,,,,,,
