,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,participant_id,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny,preproc_exp_transc,large_preproc,base_preproc,medium_preproc,small_preproc,tiny_preproc,large_wer,base_wer,medium_wer,small_wer,tiny_wer
21585,37252,37252,37252,t14,6_2,L1,low prob,The scared turtle won't come out of its airplane.,"The scary turtle won't come out of its airplane.
Oh my god, I didn't see it.
Okay.
Okay.","The scary turtle won't come out of its airplane.
Oh my god I didn't see it.
Okay.
Okay.","The scary turtle won't come out of its.
of its.
air plane.
Oh my god, I didn't see it.
Okay.
Okay.","The scary turtle won't come out of its airplane.
Oh my god, I didn't see it.
Okay.","The scary turtle won come out of its air flame.
Oh my god, I didn't see it.
Okay, okay.",the scared turtle will not come out of its airplane.,"the scary turtle will not come out of its airplane. oh my god, i did not see it. okay. okay.",the scary turtle will not come out of its airplane. oh my god i did not see it. okay. okay.,"the scary turtle will not come out of its. of its. air plane. oh my god, i did not see it. okay. okay.","the scary turtle will not come out of its airplane. oh my god, i did not see it. okay.","the scary turtle won come out of its air flame. oh my god, i did not see it. okay, okay.",1.1,1.1,1.6,1.0,1.5
21603,37270,37270,37270,t14,98_2,L2,nonword,"There is one hathroom for the boys, and one for ants.","There's one bathroom for boys and one for girls, or one for aunts.","There's one bathroom for boys and one for girls.
I want the ends.","There's one bathroom for boys and one for girls.
I want it for ends.","There's one bathroom for boys and one for girls.
I want the ends.","There's one bathroom for boys and one folk girls.
I want for ends.","there is one hathroom for the boys, and one for ants.","there is one bathroom for boys and one for girls, or one for aunts.",there is one bathroom for boys and one for girls. i want the ends.,there is one bathroom for boys and one for girls. i want it for ends.,there is one bathroom for boys and one for girls. i want the ends.,there is one bathroom for boys and one folk girls. i want for ends.,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.7272727272727273
21609,37276,37276,37276,t14,43_3,L1,nonword,The zoy put the groceries in a horse.,That's where we put the groceries in the course.,Let's only put the groceries in a horse.,That's why I put the groceries in the horse.,That's why we put the groceries in the horse.,Let's all put the groceries in the house.,the zoy put the groceries in a horse.,that is where we put the groceries in the course.,let us only put the groceries in a horse.,that is why i put the groceries in the horse.,that is why we put the groceries in the horse.,let us all put the groceries in the house.,0.75,0.375,0.625,0.625,0.625
21634,37301,37301,37301,t14,39_3,L1,high prob,The bunny nibbled a carrot.,"They're trying to enable the carrot.
The bunny.
Alright.
Ready.","They're trowny and able to carry it.
The bunny.
Ready.","The tronny nibble the carrot.
The bunny.
Ready.","The Trony Neboda Carrot.
The Bunny.
Ready.","The Trony Nimble will decorative.
The bunny I buy a Ready.",the bunny nibbled a carrot.,they are trying to enable the carrot. the bunny. alright. ready.,they are trowny and able to carry it. the bunny. ready.,the tronny nibble the carrot. the bunny. ready.,the trony neboda carrot. the bunny. ready.,the trony nimble will decorative. the bunny i buy a ready.,2.0,2.2,1.2,1.2,1.6
21642,37309,37309,37309,t14,39_1,L2,nonword,The trunny nibbled a clown.,The Tiny Nibble the Clown.,The turning level to cloud.,The turning nibble of the clown.,The tranny nibbled a clown.,The turning level of the clown.,the trunny nibbled a clown.,the tiny nibble the clown.,the turning level to cloud.,the turning nibble of the clown.,the tranny nibbled a clown.,the turning level of the clown.,0.6,0.8,0.8,0.2,0.8
21649,37316,37316,37316,t14,85_2,L2,nonword,I like to play betch with my clock.,"I like to play bad children of the dark.
Oh my clock.","I like to play back to my dog, at my clock.","I like to play about you on my dock.
On my clock.","I like to play batch on my dock, on my clock.","I'd like to play about Chomadak, or McClock.",i like to play betch with my clock.,i like to play bad children of the dark. oh my clock.,"i like to play back to my dog, at my clock.",i like to play about you on my dock. on my clock.,"i like to play batch on my dock, on my clock.","i would like to play about chomadak, or mcclock.",0.75,0.625,0.75,0.625,0.625
21652,37319,37319,37319,t14,30_3,L2,nonword,"At the ricnic, the crumbs attracted eggs.","In the Brick Neck, the crowns attracted eggs.",at the Select.,"At the breakneck, the crowns attracted eggs.",At the brignac the crowns attracted eggs.,"At the breakneck, the ground is attracted eggs.","at the ricnic, the crumbs attracted eggs.","in the brick neck, the crowns attracted eggs.",at the select.,"at the breakneck, the crowns attracted eggs.",at the brignac the crowns attracted eggs.,"at the breakneck, the ground is attracted eggs.",0.5714285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.4285714285714285
21654,37321,37321,37321,t14,18_1,L1,high prob,Mommy read me my favorite book.,"Mommy read me my favorite book.
Or read me, okay.","Mummy, read me my favorite book.
Are you ready to write me okay.","Mommy read me my favorite book.
Uh, read me okay.",mommy read me my favorite book or read me okay.,"Mommy, meet me my favorite book.
I'll rat me okay.",mommy read me my favorite book.,"mommy read me my favorite book. or read me, okay.","mummy, read me my favorite book. are you ready to write me okay.","mommy read me my favorite book. uh, read me okay.",mommy read me my favorite book or read me okay.,"mommy, meet me my favorite book. i will rat me okay.",0.6666666666666666,1.3333333333333333,0.6666666666666666,0.8333333333333334,1.1666666666666667
21661,37328,37328,37328,t14,4_3,L1,nonword,"When you go outside, mease close the girl.","When you go outside, me close to girls.
I made a mistake, yeah.
Okay, ready.","When you go outside, miss the girls.
I made a mistake.
Okay.
Ready.","When you go outside, Mies, close to girls.
I made a mistake.
Ready.","When you go outside, meese close the girls.
I made a mistake, yeah.
Okay, ready.
Ready.","when you go outside me's close to girls, right.
I made a mistake, yeah.
Okay, ready.","when you go outside, mease close the girl.","when you go outside, me close to girls. i made a mistake, yeah. okay, ready.","when you go outside, miss the girls. i made a mistake. okay. ready.","when you go outside, mies, close to girls. i made a mistake. ready.","when you go outside, meese close the girls. i made a mistake, yeah. okay, ready. ready.","when you go outside me is close to girls, right. i made a mistake, yeah. okay, ready.",1.25,1.125,1.0,1.25,1.625
21674,37341,37341,37341,t14,47_1,L2,nonword,"At brinner, my family sits together at the man.",I remember my family's seats together at the band.,It would remind me of some of my seats together at the end.,"If we're in my filming seats together, I demand.",It reminds me of my film he states together at the end.,If I remember filming seats together at the end.,"at brinner, my family sits together at the man.",i remember my family is seats together at the band.,it would remind me of some of my seats together at the end.,"if we are in my filming seats together, i demand.",it reminds me of my film he states together at the end.,if i remember filming seats together at the end.,0.5555555555555556,1.1111111111111112,1.1111111111111112,0.8888888888888888,0.6666666666666666
21677,37344,37344,37344,t14,15_1,L2,nonword,My nend likes pepperoni on his money.,My name is Lex Pepperoni on this money.,My name is Lix Piperani and this money.,My name is Lex Pepperoni on this money.,My name is Lex Pepperoni on this money.,"My name, Lake's Pipp Warning Is Bunny.",my nend likes pepperoni on his money.,my name is lex pepperoni on this money.,my name is lix piperani and this money.,my name is lex pepperoni on this money.,my name is lex pepperoni on this money.,"my name, lake is pipp warning is bunny.",0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,1.0
21682,37349,37349,37349,t14,88_2,L1,low prob,Daddy's shirt was missing a fork.,Daddy shirts with a missing fork.,Daddy sure it's with some missing fork.,Daddy shirts was a missing fork.,Daddy Shirtz was a missing fork.,Daddy sure it's with some missing fork.,daddy is shirt was missing a fork.,daddy shirts with a missing fork.,daddy sure it is with some missing fork.,daddy shirts was a missing fork.,daddy shirtz was a missing fork.,daddy sure it is with some missing fork.,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143
21687,37354,37354,37354,t14,99_2,L2,nonword,"To cross the sivver, we walked on a banana.",To cross the river we walked on the bridge to cross the server we walked in the banana.,To cross the river we walk on the bridge to cross the severely walk on the banana.,To cross the river we walk on the bridge to cross the server we walk in the banana.,To cross the river we walked on the bridge to cross the server we walked in the banana.,"The Christ of River, we walk on the bridge to Christ of River, we walk on the banana.","to cross the sivver, we walked on a banana.",to cross the river we walked on the bridge to cross the server we walked in the banana.,to cross the river we walk on the bridge to cross the severely walk on the banana.,to cross the river we walk on the bridge to cross the server we walk in the banana.,to cross the river we walked on the bridge to cross the server we walked in the banana.,"the christ of river, we walk on the bridge to christ of river, we walk on the banana.",1.2222222222222223,1.2222222222222223,1.3333333333333333,1.2222222222222223,1.5555555555555556
21701,37368,37368,37368,t14,47_3,R4P1,low prob,"At dinner, my family sits together at the man.","At dinner my flammy sits together at the man.
Don't be too fast at dinner my flammy.
Okay.
Ready.
Ready.","After that my flamie sits together at the end.
Okay, ready.","At dinner, my flammie sits together at the man.
Don't be too perfect at dinner, my flammie.
Okay.
Ready.",at dinner my flamie sits together at the man okay ready.,"I've dinner by flammie sits together at the man.
Don't be too upset at dinner by flammie.
Okay.
Ready.","at dinner, my family sits together at the man.",at dinner my flammy sits together at the man. do not be too fast at dinner my flammy. okay. ready. ready.,"after that my flamie sits together at the end. okay, ready.","at dinner, my flammie sits together at the man. do not be too perfect at dinner, my flammie. okay. ready.",at dinner my flamie sits together at the man okay ready.,i have dinner by flammie sits together at the man. do not be too upset at dinner by flammie. okay. ready.,1.5555555555555556,0.6666666666666666,1.3333333333333333,0.5555555555555556,1.7777777777777777
21708,37375,37375,37375,t14,41_2,L1,high prob,"Oink Oink, said the pig.",Oink oink set to pick.,I'm going to set the pick.,Oink oink set to pick.,I'm going to set the pick.,I'm going set the pick.,"oink oink, said the pig.",oink oink set to pick.,i am going to set the pick.,oink oink set to pick.,i am going to set the pick.,i am going set the pick.,0.8,1.2,0.8,1.2,1.0
21715,37382,37382,37382,t14,83_3,L2,high prob,The caterpillar is munching on a green leaf.,The caterpillars munching at green leaves.,The Califators Munchenegg Rain Greeth.,The Calipers Munchin' at Green Leaf.,The calipot is much in a green grieve.,Machino playing a game.,the caterpillar is munching on a green leaf.,the caterpillars munching at green leaves.,the califators munchenegg rain greeth.,the calipers munchin' at green leaf.,the calipot is much in a green grieve.,machino playing a game.,0.625,0.875,0.625,0.5,0.875
21722,37389,37389,37389,t14,67_1,R2P2,nonword,The matterpillar turned into a piano.,The kid madly put her turn into a piano.,Dookimatic add a foot to turn it into a piano.,The key matter pedal turned into a piano.,The game matter better returned into a piano.,Do maybe masterfeed prediction and now.,the matterpillar turned into a piano.,the kid madly put her turn into a piano.,dookimatic add a foot to turn it into a piano.,the key matter pedal turned into a piano.,the game matter better returned into a piano.,do maybe masterfeed prediction and now.,0.8333333333333334,1.1666666666666667,0.5,0.6666666666666666,1.0
21740,37407,37407,37407,t14,30_3,R2P2,nonword,"At the ricnic, the crumbs attracted eggs.",Is it reckoning the crimes of Tractate X.,as erecting the crimes attracted eggs.,is erecting the cromotracted eggs.,as I rigged the crumps attracted eggs.,is erecting the crowns attracted eggs.,"at the ricnic, the crumbs attracted eggs.",is it reckoning the crimes of tractate x.,as erecting the crimes attracted eggs.,is erecting the cromotracted eggs.,as i rigged the crumps attracted eggs.,is erecting the crowns attracted eggs.,1.0,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714
21743,37410,37410,37410,t14,44_3,L1,nonword,"When Bandma reads, she needs her boat.","On Bama's wreath, she knits her boat.",a boom at reach you need her boat.,On Batman Reiss she needs her boat.,Uncle Ben might wish he needs her boat.,Ag paper we skinny to both.,"when bandma reads, she needs her boat.","on bama is wreath, she knits her boat.",a boom at reach you need her boat.,on batman reiss she needs her boat.,uncle ben might wish he needs her boat.,ag paper we skinny to both.,0.7142857142857143,0.8571428571428571,0.4285714285714285,0.7142857142857143,1.0
21750,37417,37417,37417,t14,30_2,L2,high prob,"At the picnic, the crumbs attracted ants.",and depicting the crumb's attracted ends.,Add the picnic to crumbs attracted ends.,It depicted the crumbs attracted ends.,Let the picnic crumbs attracted ends.,"At the beginning of the cramps, attracted it ends.","at the picnic, the crumbs attracted ants.",and depicting the crumb is attracted ends.,add the picnic to crumbs attracted ends.,it depicted the crumbs attracted ends.,let the picnic crumbs attracted ends.,"at the beginning of the cramps, attracted it ends.",0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143
21770,37437,37437,37437,t14,16_3,L1,nonword,On the queeling I saw a creepy-crawly bag.,"On the quilling I saw a creepy crawly spider.
Bag.
Oh my god I didn't see it.
Okay, my bad.
Yeah.",on the quilling of those creepy crawly spider bag oh my god and see okay my bad yeah.,on the quilling of South's creepy crawly spider bag oh my god and see okay my bad yeah.,"On the quilling of such creepy crawly spider.
Bag.
Oh my god, I didn't see it.
Okay, my bad.
Yeah.","on the Quilling of So's creepy crawlies spider.
Back, oh my god, and see you.
Okay, my bad.
Yeah.",on the queeling i saw a creepy-crawly bag.,"on the quilling i saw a creepy crawly spider. bag. oh my god i did not see it. okay, my bad. yeah.",on the quilling of those creepy crawly spider bag oh my god and see okay my bad yeah.,on the quilling of south is creepy crawly spider bag oh my god and see okay my bad yeah.,"on the quilling of such creepy crawly spider. bag. oh my god, i did not see it. okay, my bad. yeah.","on the quilling of so is creepy crawlies spider. back, oh my god, and see you. okay, my bad. yeah.",2.0,2.0,2.125,2.25,2.25
21781,37448,37448,37448,t14,41_3,L1,low prob,"Oink Oink, said the shoes.",I like sector shoes.,I like sex to choose.,I like sector shoes.,I'm going to take the shoes.,Only in Institutes.,"oink oink, said the shoes.",i like sector shoes.,i like sex to choose.,i like sector shoes.,i am going to take the shoes.,only in institutes.,0.8,1.0,0.8,1.0,1.0
21791,37458,37458,37458,t14,41_1,L2,nonword,"Oink Oink, ked the shoes.",Oink oink said cat tissues.,I'm going to set cat dishes.,I'm going to say cat dishes.,I'm going to set cat issues.,I'm going to set cat issues.,"oink oink, ked the shoes.",oink oink said cat tissues.,i am going to set cat dishes.,i am going to say cat dishes.,i am going to set cat issues.,i am going to set cat issues.,0.8,1.4,1.4,1.4,1.4
21792,37459,37459,37459,t14,50_3,L2,nonword,Noldiers shoot with their glasses.,No one just shoots with their glasses.,No dispute with three classes.,No just shoot with your glasses.,"No, just shoot with three glasses.","No, just shoot with three glasses.",noldiers shoot with their glasses.,no one just shoots with their glasses.,no dispute with three classes.,no just shoot with your glasses.,"no, just shoot with three glasses.","no, just shoot with three glasses.",0.8,0.8,0.6,0.6,0.6
21796,37463,37463,37463,t14,92_2,L1,low prob,The farmer milked the nose.,The Farmer Milk Dinos.,The everyone�g peninsula.,fright to know.,Define remote signals.,reform and locked in our house.,the farmer milked the nose.,the farmer milk dinos.,the everyone�g peninsula.,fright to know.,define remote signals.,reform and locked in our house.,0.6,0.8,1.0,1.0,1.2
21798,37465,37465,37465,t14,80_3,L2,nonword,We roasted sarshmallows over the giraffe.,Who rose its sour smellows over the giraffe.,We're all set charged fellows over the giraffe.,We'll roast its harsh mellows over the giraffe.,We'll roast the Sarsch Melos over the giraffe.,Where a place that tension causedOn the island.,we roasted sarshmallows over the giraffe.,who rose its sour smellows over the giraffe.,we are all set charged fellows over the giraffe.,we will roast its harsh mellows over the giraffe.,we will roast the sarsch melos over the giraffe.,where a place that tension causedon the island.,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.1666666666666667
21803,37470,37470,37470,t14,78_1,L1,nonword,The spapple grew on a bell.,"The sapple on crew the bell.
S'papple.","Do you know what to do.
This is awesome.","The sapple grew the bell.
Spapple.",A good stuff Wait wait wait wait.,Thats not a prbow.,the spapple grew on a bell.,the sapple on crew the bell. s'papple.,do you know what to do. this is awesome.,the sapple grew the bell. spapple.,a good stuff wait wait wait wait.,thats not a prbow.,0.8333333333333334,1.5,0.6666666666666666,1.1666666666666667,0.8333333333333334
21806,37473,37473,37473,t14,75_3,L1,low prob,"To drive the car, daddy turns the hearts.",She drives the car that he turns to hearts.,Drive the car that it turns the heart.,Drive the car that it turns to heart.,Drive the car that it turns the heart.,Should I have the card that it turns the heart.,"to drive the car, daddy turns the hearts.",she drives the car that he turns to hearts.,drive the car that it turns the heart.,drive the car that it turns to heart.,drive the car that it turns the heart.,should i have the card that it turns the heart.,0.75,0.625,0.75,0.625,0.875
21837,37504,37504,37504,t14,32_1,L1,high prob,On her finger she wore a ring.,on her fingers she rolled.,Okay fingers fried.,on her fingers to roar.,I don't have fingers to roll.,I don't have fingers to roar.,on her finger she wore a ring.,on her fingers she rolled.,okay fingers fried.,on her fingers to roar.,i do not have fingers to roll.,i do not have fingers to roar.,0.5714285714285714,1.0,0.7142857142857143,1.0,1.0
21842,37509,37509,37509,t14,46_2,L1,low prob,"At Valentine's day, we drew lots of pants.",A Valentine's Day with lots of paint.,Evident time stay would be a lot of paint.,On Valentine's Day we drew lots of pants.,A Valentine's Day which read lots of pints.,If Valentine's Day would be lots of paint.,"at valentine is day, we drew lots of pants.",a valentine is day with lots of paint.,evident time stay would be a lot of paint.,on valentine is day we drew lots of pants.,a valentine is day which read lots of pints.,if valentine is day would be lots of paint.,0.5555555555555556,0.8888888888888888,0.2222222222222222,0.5555555555555556,0.5555555555555556
21856,37523,37523,37523,t14,48_1,L1,nonword,We moved our burniture on the back of a flower.,we moved our furniture on the back of the floor flower oh my god.,"Remove that burning tree on the back of the floor.
Flower oh my god.",we moved our burning tree on the back of the floor flower oh my god.,we moved our bird entry on the back of the floor flower oh my god.,"We moved out of Berry tree on the back of the floor.
Flower and only God.",we moved our burniture on the back of a flower.,we moved our furniture on the back of the floor flower oh my god.,remove that burning tree on the back of the floor. flower oh my god.,we moved our burning tree on the back of the floor flower oh my god.,we moved our bird entry on the back of the floor flower oh my god.,we moved out of berry tree on the back of the floor. flower and only god.,0.7,1.0,0.8,0.8,1.0
21859,37526,37526,37526,t14,72_2,L1,low prob,The boy has a toy choo-choo leaf.,The boy has a toy to cheer him up.,The boy has a toy to cheer me.,The boy has a toy choo-choo leaf.,The boy has a toy to cheer you up.,The boy has a toy to leave.,the boy has a toy choo-choo leaf.,the boy has a toy to cheer him up.,the boy has a toy to cheer me.,the boy has a toy choo-choo leaf.,the boy has a toy to cheer you up.,the boy has a toy to leave.,0.5714285714285714,0.4285714285714285,0.0,0.5714285714285714,0.2857142857142857
21864,37531,37531,37531,t14,3_3,L1,low prob,"The king wore a shiny, gold box",The King Worries Shiny Gold Bots.,The King Warrior Shining Gold Buds.,The King wore his shiny gold box.,The king wore his shiny gold box.,The King worries shiny gold bots.,"the king wore a shiny, gold box",the king worries shiny gold bots.,the king warrior shining gold buds.,the king wore his shiny gold box.,the king wore his shiny gold box.,the king worries shiny gold bots.,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714
21871,37538,37538,37538,t14,47_1,R4P1,nonword,"At brinner, my family sits together at the man.","In Burma, my family sits together as a man.
Brunner.
Don't be too fast.
Okay.
Okay.",a brimmer my family sister are the men brinner okay okay.,at Brimmer my family sits together at a man Brinner okay okay.,a brimmer my family sits together at the man brinner don't be too fast okay.,"A Bermer, my family sister, together, are the men.
Bermer.
Don't get too fast.
Okay.
Okay.","at brinner, my family sits together at the man.","in burma, my family sits together as a man. brunner. do not be too fast. okay. okay.",a brimmer my family sister are the men brinner okay okay.,at brimmer my family sits together at a man brinner okay okay.,a brimmer my family sits together at the man brinner do not be too fast okay.,"a bermer, my family sister, together, are the men. bermer. do not get too fast. okay. okay.",1.3333333333333333,1.0,0.6666666666666666,1.1111111111111112,1.5555555555555556
21887,37554,37554,37554,t14,34_2,L2,low prob,"At the zoo, I saw a tall key.",At the US of Turkey.,"Earth, we were so tired.",Add to the USO a tall key.,Let's do a little talkie.,"It did the U.
S.
-O-O-S.","at the zoo, i saw a tall key.",at the us of turkey.,"earth, we were so tired.",add to the uso a tall key.,let us do a little talkie.,it did the u. s. -o-o-s.,0.75,1.0,0.625,0.875,1.0
21888,37555,37555,37555,t14,37_1,L1,nonword,Dandma sits on her porch in a bat.,"Then let's say it's a porch and a bat.
Porch and a bat.","then let's just approach and the bat, portion of bat, okay.","Then let's say it's a porch and a bat.
Porch and a bat, okay.","Then let's approach the back.
Purchase the back.","then let's say it's her project and the back, portion the back, okay.",dandma sits on her porch in a bat.,then let us say it is a porch and a bat. porch and a bat.,"then let us just approach and the bat, portion of bat, okay.","then let us say it is a porch and a bat. porch and a bat, okay.",then let us approach the back. purchase the back.,"then let us say it is her project and the back, portion the back, okay.",1.5,1.5,1.625,1.125,1.75
21889,37556,37556,37556,t14,26_3,L1,low prob,The bee sat on the petals of the watch.,The B7 pedals of the watch.,The bees are in the petals of the watch.,The B7 pedals of the watch.,The B7 pedals of the watch.,The Peace and Petos of the Watch.,the bee sat on the petals of the watch.,the b7 pedals of the watch.,the bees are in the petals of the watch.,the b7 pedals of the watch.,the b7 pedals of the watch.,the peace and petos of the watch.,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556
21895,37562,37562,37562,t14,66_2,L2,nonword,"For sleckfast, Mommy poured me a bowl of butterfly.","First act, first mummy, pour me a bowl of butterfly.",for sex first mummy pour me a ball of butterfly.,For a sec first mummy poured me a ball of butterfly.,For that first mummy poured me a ball of butterfly.,"So, sex first mummy poured me a ball of butterfly.","for sleckfast, mommy poured me a bowl of butterfly.","first act, first mummy, pour me a bowl of butterfly.",for sex first mummy pour me a ball of butterfly.,for a sec first mummy poured me a ball of butterfly.,for that first mummy poured me a ball of butterfly.,"so, sex first mummy poured me a ball of butterfly.",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556
21898,37565,37565,37565,t14,99_2,R6P2,nonword,"To cross the sivver, we walked on a banana.",To cross the severely walking banana.,To cross the several you walked my banana.,to cross the severely walked-in banana.,To cross the civil you walk my banana.,to cross the civil you walked my banana.,"to cross the sivver, we walked on a banana.",to cross the severely walking banana.,to cross the several you walked my banana.,to cross the severely walked-in banana.,to cross the civil you walk my banana.,to cross the civil you walked my banana.,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444
21901,37568,37568,37568,t14,39_2,L1,low prob,The bunny nibbled a clown.,The bunny level account.,Dobbony Kub22.,the bunny little cow.,the money鉛子.,Bletime by Benster.,the bunny nibbled a clown.,the bunny level account.,dobbony kub22.,the bunny little cow.,the money鉛子.,bletime by benster.,0.6,1.0,0.6,0.8,1.0
21903,37570,37570,37570,t14,12_3,L1,nonword,The tockstar was playing his door.,The Toxtower is playing Histoire.,The Toxdower is playing his door.,The talk star was playing his tour.,The Toxtower is playing his store.,The talk star was playing his door.,the tockstar was playing his door.,the toxtower is playing histoire.,the toxdower is playing his door.,the talk star was playing his tour.,the toxtower is playing his store.,the talk star was playing his door.,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333
